,決算年度,団体コード ,団体名,表番号,行番号,行名称,001:決算額
106,2019,110001,埼玉県,5,14,国庫支出金,160538895
107,2019,120006,千葉県,5,14,国庫支出金,155489761
108,2019,130001,東京都,5,14,国庫支出金,354800506
109,2019,140007,神奈川県,5,14,国庫支出金,122142922
110,2019,150002,新潟県,5,14,国庫支出金,153583320
111,2019,160008,富山県,5,14,国庫支出金,62428814
112,2019,170003,石川県,5,14,国庫支出金,67282031
113,2019,180009,福井県,5,14,国庫支出金,71725016
114,2019,190004,山梨県,5,14,国庫支出金,61082742
115,2019,200000,長野県,5,14,国庫支出金,118442685
116,2019,210005,岐阜県,5,14,国庫支出金,98824316
117,2019,220001,静岡県,5,14,国庫支出金,122913425
118,2019,230006,愛知県,5,14,国庫支出金,196461615
119,2019,240001,三重県,5,14,国庫支出金,76522002
120,2019,250007,滋賀県,5,14,国庫支出金,66770714
121,2019,260002,京都府,5,14,国庫支出金,82347658
122,2019,270008,大阪府,5,14,国庫支出金,205711262
123,2019,280003,兵庫県,5,14,国庫支出金,176023127
124,2019,290009,奈良県,5,14,国庫支出金,62307620
125,2019,300004,和歌山県,5,14,国庫支出金,82246757
126,2019,310000,鳥取県,5,14,国庫支出金,57080087
127,2019,320005,島根県,5,14,国庫支出金,75304410
128,2019,330001,岡山県,5,14,国庫支出金,85499096
129,2019,340006,広島県,5,14,国庫支出金,117919751
130,2019,350001,山口県,5,14,国庫支出金,84765430
131,2019,360007,徳島県,5,14,国庫支出金,56889200
132,2019,370002,香川県,5,14,国庫支出金,47447633
133,2019,380008,愛媛県,5,14,国庫支出金,95892706
134,2019,390003,高知県,5,14,国庫支出金,77005725
135,2019,400009,福岡県,5,14,国庫支出金,201219815
136,2019,410004,佐賀県,5,14,国庫支出金,62652479
137,2019,420000,長崎県,5,14,国庫支出金,123268383
138,2019,430005,熊本県,5,14,国庫支出金,135649918
139,2019,440001,大分県,5,14,国庫支出金,93705695
140,2019,450006,宮崎県,5,14,国庫支出金,88685249
141,2019,460001,鹿児島県,5,14,国庫支出金,139235629
142,2019,470007,沖縄県,5,14,国庫支出金,186710791
143,2019,合計(全国),,5,14,国庫支出金,5925150059
144,2019,10006,北海道,5,27,（歳入合計）,2307267723
145,2019,20001,青森県,5,27,（歳入合計）,641037633
146,2019,30007,岩手県,5,27,（歳入合計）,970723696
147,2019,40002,宮城県,5,27,（歳入合計）,1074309467
148,2019,50008,秋田県,5,27,（歳入合計）,571592377
149,2019,60003,山形県,5,27,（歳入合計）,567518915
150,2019,70009,福島県,5,27,（歳入合計）,1318087834
151,2019,80004,茨城県,5,27,（歳入合計）,1016635769
152,2019,90000,栃木県,5,27,（歳入合計）,717928360
153,2019,100005,群馬県,5,27,（歳入合計）,700305577
154,2019,110001,埼玉県,5,27,（歳入合計）,1612930907
155,2019,120006,千葉県,5,27,（歳入合計）,1578900081
156,2019,130001,東京都,5,27,（歳入合計）,6701778644
157,2019,140007,神奈川県,5,27,（歳入合計）,1683796249
158,2019,150002,新潟県,5,27,（歳入合計）,993771345
159,2019,160008,富山県,5,27,（歳入合計）,481121915
160,2019,170003,石川県,5,27,（歳入合計）,517492353
161,2019,180009,福井県,5,27,（歳入合計）,430306889
162,2019,190004,山梨県,5,27,（歳入合計）,450983178
163,2019,200000,長野県,5,27,（歳入合計）,812890362
164,2019,210005,岐阜県,5,27,（歳入合計）,743196031
165,2019,220001,静岡県,5,27,（歳入合計）,1052325193
166,2019,230006,愛知県,5,27,（歳入合計）,2121138514
167,2019,240001,三重県,5,27,（歳入合計）,647161777
168,2019,250007,滋賀県,5,27,（歳入合計）,498019292
169,2019,260002,京都府,5,27,（歳入合計）,814689863
170,2019,270008,大阪府,5,27,（歳入合計）,2384934836
171,2019,280003,兵庫県,5,27,（歳入合計）,1726663367
172,2019,290009,奈良県,5,27,（歳入合計）,488605714
173,2019,300004,和歌山県,5,27,（歳入合計）,529705939
174,2019,310000,鳥取県,5,27,（歳入合計）,340238962
175,2019,320005,島根県,5,27,（歳入合計）,474079603
176,2019,330001,岡山県,5,27,（歳入合計）,662048948
177,2019,340006,広島県,5,27,（歳入合計）,901558429
178,2019,350001,山口県,5,27,（歳入合計）,603758701
179,2019,360007,徳島県,5,27,（歳入合計）,469350055
180,2019,370002,香川県,5,27,（歳入合計）,426866719
181,2019,380008,愛媛県,5,27,（歳入合計）,612193837
182,2019,390003,高知県,5,27,（歳入合計）,442999021
183,2019,400009,福岡県,5,27,（歳入合計）,1546461728
184,2019,410004,佐賀県,5,27,（歳入合計）,435257139
185,2019,420000,長崎県,5,27,（歳入合計）,665458632
186,2019,430005,熊本県,5,27,（歳入合計）,788182116
187,2019,440001,大分県,5,27,（歳入合計）,569758730
188,2019,450006,宮崎県,5,27,（歳入合計）,547913372
189,2019,460001,鹿児島県,5,27,（歳入合計）,771350475
190,2019,470007,沖縄県,5,27,（歳入合計）,688342903
191,2019,合計(全国),,5,27,（歳入合計）,47101639170
192,2014,10006,北海道,5,1,地方税,495745835
193,2014,20001,青森県,5,1,地方税,125863165
194,2014,30007,岩手県,5,1,地方税,116028847
195,2014,40002,宮城県,5,1,地方税,244462245
196,2014,50008,秋田県,5,1,地方税,83278700
197,2014,60003,山形県,5,1,地方税,95342428
198,2014,70009,福島県,5,1,地方税,203703906
199,2014,80004,茨城県,5,1,地方税,311121613
200,2014,90000,栃木県,5,1,地方税,220809894
201,2014,100005,群馬県,5,1,地方税,216046916
202,2014,110001,埼玉県,5,1,地方税,665037679
203,2014,120006,千葉県,5,1,地方税,620161271
204,2014,130001,東京都,5,1,地方税,3467052559
205,2014,140007,神奈川県,5,1,地方税,964007748
206,2014,150002,新潟県,5,1,地方税,218756872
207,2014,160008,富山県,5,1,地方税,113543750
208,2014,170003,石川県,5,1,地方税,122882248
209,2014,180009,福井県,5,1,地方税,90189311
210,2014,190004,山梨県,5,1,地方税,85359454
211,2014,200000,長野県,5,1,地方税,203386713
212,2014,210005,岐阜県,5,1,地方税,197994499
213,2014,220001,静岡県,5,1,地方税,418563666
214,2014,230006,愛知県,5,1,地方税,1006337823
215,2014,240001,三重県,5,1,地方税,199461221
216,2014,250007,滋賀県,5,1,地方税,143375813
217,2014,260002,京都府,5,1,地方税,240676298
218,2014,270008,大阪府,5,1,地方税,941421276
219,2014,280003,兵庫県,5,1,地方税,543306295
220,2014,290009,奈良県,5,1,地方税,107360661
221,2014,300004,和歌山県,5,1,地方税,79635792
222,2014,310000,鳥取県,5,1,地方税,47209129
223,2014,320005,島根県,5,1,地方税,59305886
224,2014,330001,岡山県,5,1,地方税,179497213
225,2014,340006,広島県,5,1,地方税,277808929
226,2014,350001,山口県,5,1,地方税,131845600
227,2014,360007,徳島県,5,1,地方税,73898662
228,2014,370002,香川県,5,1,地方税,100796727
229,2014,380008,愛媛県,5,1,地方税,119770729
230,2014,390003,高知県,5,1,地方税,56727140
231,2014,400009,福岡県,5,1,地方税,468743471
232,2014,410004,佐賀県,5,1,地方税,75371369
233,2014,420000,長崎県,5,1,地方税,100717484
234,2014,430005,熊本県,5,1,地方税,139914380
235,2014,440001,大分県,5,1,地方税,96987828
236,2014,450006,宮崎県,5,1,地方税,86670956
237,2014,460001,鹿児島県,5,1,地方税,124014885
238,2014,470007,沖縄県,5,1,地方税,97252372
239,2014,合計(全国),,5,1,地方税,14777447258
240,2014,10006,北海道,5,5,地方交付税,667992616
241,2014,20001,青森県,5,5,地方交付税,223796817
242,2014,30007,岩手県,5,5,地方交付税,277304752
243,2014,40002,宮城県,5,5,地方交付税,240410769
244,2014,50008,秋田県,5,5,地方交付税,198247288
245,2014,60003,山形県,5,5,地方交付税,183900876
246,2014,70009,福島県,5,5,地方交付税,266923460
247,2014,80004,茨城県,5,5,地方交付税,200270744
248,2014,90000,栃木県,5,5,地方交付税,127826397
249,2014,100005,群馬県,5,5,地方交付税,132625279
250,2014,110001,埼玉県,5,5,地方交付税,188827905
251,2014,120006,千葉県,5,5,地方交付税,166386738
252,2014,130001,東京都,5,5,地方交付税,0
253,2014,140007,神奈川県,5,5,地方交付税,78550110
254,2014,150002,新潟県,5,5,地方交付税,277669107
255,2014,160008,富山県,5,5,地方交付税,131587534
256,2014,170003,石川県,5,5,地方交付税,132547788
257,2014,180009,福井県,5,5,地方交付税,134619843
258,2014,190004,山梨県,5,5,地方交付税,135286569
259,2014,200000,長野県,5,5,地方交付税,219816568
260,2014,210005,岐阜県,5,5,地方交付税,171367200
261,2014,220001,静岡県,5,5,地方交付税,155558129
262,2014,230006,愛知県,5,5,地方交付税,79310274
263,2014,240001,三重県,5,5,地方交付税,137304371
264,2014,250007,滋賀県,5,5,地方交付税,116566904
265,2014,260002,京都府,5,5,地方交付税,174800661
266,2014,270008,大阪府,5,5,地方交付税,276411697
267,2014,280003,兵庫県,5,5,地方交付税,303130808
268,2014,290009,奈良県,5,5,地方交付税,150732020
269,2014,300004,和歌山県,5,5,地方交付税,164988260
270,2014,310000,鳥取県,5,5,地方交付税,138154562
271,2014,320005,島根県,5,5,地方交付税,185197414
272,2014,330001,岡山県,5,5,地方交付税,168913520
273,2014,340006,広島県,5,5,地方交付税,186563390
274,2014,350001,山口県,5,5,地方交付税,174332023
275,2014,360007,徳島県,5,5,地方交付税,149595725
276,2014,370002,香川県,5,5,地方交付税,112860293
277,2014,380008,愛媛県,5,5,地方交付税,168773412
278,2014,390003,高知県,5,5,地方交付税,175669097
279,2014,400009,福岡県,5,5,地方交付税,271927771
280,2014,410004,佐賀県,5,5,地方交付税,146253592
281,2014,420000,長崎県,5,5,地方交付税,222296055
282,2014,430005,熊本県,5,5,地方交付税,220716438
283,2014,440001,大分県,5,5,地方交付税,174798164
284,2014,450006,宮崎県,5,5,地方交付税,187275868
285,2014,460001,鹿児島県,5,5,地方交付税,271196565
286,2014,470007,沖縄県,5,5,地方交付税,209499687
287,2014,合計(全国),,5,5,地方交付税,8878785060
288,2014,10006,北海道,5,14,国庫支出金,338107926
289,2014,20001,青森県,5,14,国庫支出金,111828556
290,2014,30007,岩手県,5,14,国庫支出金,204214004
291,2014,40002,宮城県,5,14,国庫支出金,292583962
292,2014,50008,秋田県,5,14,国庫支出金,68831987
293,2014,60003,山形県,5,14,国庫支出金,65596525
294,2014,70009,福島県,5,14,国庫支出金,596110613
295,2014,80004,茨城県,5,14,国庫支出金,133492575
296,2014,90000,栃木県,5,14,国庫支出金,89960066
297,2014,100005,群馬県,5,14,国庫支出金,89409451
298,2014,110001,埼玉県,5,14,国庫支出金,177433488
299,2014,120006,千葉県,5,14,国庫支出金,169809460
300,2014,130001,東京都,5,14,国庫支出金,386120333
301,2014,140007,神奈川県,5,14,国庫支出金,194503886
